Discipline (분야)	English (영어)	Korean (한국어)
건축	Exit Access Doorway	비상문
건축	Exit Access Stairway	비상계단
건축	Exit Access Stairways	출구접근 계단
건축	Exit Access Travel Distance	출구접근 보행거리
건축	Exit And Exit Access Doorway Configuration	출구 및 출구접근통로의 출입문 구성
건축	Exit Discharge	옥외로의 출구
건축	Exit Passageway	피난복도
건축	Exit Passageways	피난통로 접근로
소방	Exit Passageways	피난 통로
건축	Exit Signs	출구 표지
건축	Explosion	폭발
건축	Explosion Control	폭발 제어
건축	Explosion Control Requirements	폭발 제어 요구사항
건축	Explosive	폭발물
소방	Exposure Protection	노출 방호
소방	Exterior Projections	외부 돌출부
건축	Exterior Wall	외벽
소방	External Connections	외부 연결
건축	Externally Illuminated Exit Signs	외부 조명식 피난구 표지
소방	Extinguishment	소화
소방	Extra Hazard (Group 1) (EH1)	특급 위험 (Group 1) (EH1)
소방	Extra Hazard (Group 2) (EH2)	특급 위험 (Group 2) (EH2)
건축	Fabrication Areas	제조 구역
소방	Facilities	시설
소방	Factory and Field Performance	공장 및 현장 성능
건축	Factory Industrial Group F Occupancy	공장산업시설군 F 용도
건축	Fire Alarm And Detection Systems	화재경보 및 감지설비
소방	Fire Alarm Control Interface (FACI)	화재 경보 제어 인터페이스(FACI)
소방	Fire Alarm Signal Initiation — Detection Devices	화재 경보 신호 개시 — 감지 장치
소방	Fire Alarm Signal Initiation — Manual	화재 경보 신호 개시 — 수동
소방	Fire Alarm Signal Initiation — Sprinkler Systems	화재 경보 신호 개시 — 스프링클러 시스템
소방	Fire Alarm System Inputs	화재 경보 시스템 입력
건축	Fire Alarm Systems Using Tone	음향을 사용하는 화재경보시스템
건축	Fire And Smoke Protection Features	화재 및 연기 방호 설비
건축	Fire Area	방화구역
건축	Fire Barrier	방화구획
건축	Fire Barriers	방화구획
건축	Fire Command Center	방재센터
소방	Fire Department Access and Water Supply	소방대 접근 및 급수
건축	Fire Department Communication System	소방서 통신시스템
소방	Fire Department Connections	연결송수구
소방	Fire Department Connections	소방연결구
건축	Fire Door Assemblies	방화문 조립체
건축	Fire Fighter’s Smoke Control Panel	소방관용 제연 제어반
소방	Fire Hazard or Fire Risk Analysis	화재 위험 또는 화재 리스크 분석
소방	Fire Hydrants	소화전
건축	Fire Partition	방화칸막이
건축	Fire Partitions	방화칸막이
소방	Fire Protection	소방
건축	Fire Protection And Life Safety Systems	소방 및 인명안전 설비
소방	Fire Protection System Design	소방 시스템 설계
건축	Fire Pump and Riser Room Size	소화펌프 및 입상배관실 크기
건축	Fire Pump and Riser Room Size	소방 펌프 및 라이저실 크기
건축	Fire Pumps	소화펌프
건축	Fire Resistance	내화성능
건축	Fire Resistance Rating	내화성능
